recode,variable_name,from_system,from_code,from_label,to_system,to_code,to_label,notes,review_flag,domain
FALSE,race_asian_indian,BEDROCK,N,No,WHALES,N,No,NA,FALSE,demographics
FALSE,race_asian_indian,BEDROCK,U,Unknown,WHALES,U,Unknown,NA,FALSE,demographics
FALSE,race_black,BEDROCK,Y,Yes,WHALES,Y,Yes,NA,FALSE,demographics
FALSE,race_black,BEDROCK,N,No,WHALES,N,No,NA,FALSE,demographics
FALSE,race_black,BEDROCK,U,Unknown,WHALES,U,Unknown,NA,FALSE,demographics
FALSE,race_calculation,BEDROCK,1,White,WHALES,1,White,NA,FALSE,demographics
FALSE,race_calculation,BEDROCK,2,Black,WHALES,2,Black,NA,FALSE,demographics
FALSE,race_calculation,BEDROCK,3,Native American,WHALES,3,Native American,NA,FALSE,demographics
FALSE,race_calculation,BEDROCK,4,Chinese,WHALES,4,Chinese,NA,FALSE,demographics
FALSE,race_calculation,BEDROCK,5,Japanese,WHALES,5,Japanese,NA,FALSE,demographics
FALSE,race_calculation,BEDROCK,6,Other Non-White,WHALES,6,Other Non-White,NA,FALSE,demographics
FALSE,race_calculation,BEDROCK,7,Filipino,WHALES,7,Filipino,NA,FALSE,demographics
FALSE,race_calculation,BEDROCK,8,Refused to State,WHALES,8,Refused to State,NA,FALSE,demographics
FALSE,race_calculation,BEDROCK,9,Unknown/Not Stated,WHALES,9,Unknown/Not Stated,NA,FALSE,demographics
FALSE,race_calculation,BEDROCK,A,Hawaiian,WHALES,A,Hawaiian,NA,FALSE,demographics
FALSE,race_calculation,BEDROCK,B,Other Asian/Pacific Islander,WHALES,B,Other Asian/Pacific Islander,NA,FALSE,demographics
FALSE,race_calculation,BEDROCK,C,Mexican/Chicano/Hispanic,WHALES,C,Mexican/Chicano/Hispanic,NA,FALSE,demographics
FALSE,race_calculation,BEDROCK,D,Asian Indian,WHALES,D,Asian Indian,NA,FALSE,demographics
FALSE,race_calculation,BEDROCK,E,Korean,WHALES,E,Korean,NA,FALSE,demographics
FALSE,race_calculation,BEDROCK,F,Samoan,WHALES,F,Samoan,NA,FALSE,demographics
FALSE,race_calculation,BEDROCK,G,Vietnamese,WHALES,G,Vietnamese,NA,FALSE,demographics
FALSE,race_calculation,BEDROCK,H,Guamanian,WHALES,H,Guamanian,NA,FALSE,demographics
FALSE,race_chinese,BEDROCK,Y,Yes,WHALES,Y,Yes,NA,FALSE,demographics
FALSE,race_chinese,BEDROCK,N,No,WHALES,N,No,NA,FALSE,demographics
FALSE,race_chinese,BEDROCK,U,Unknown,WHALES,U,Unknown,NA,FALSE,demographics
FALSE,race_filipino,BEDROCK,Y,Yes,WHALES,Y,Yes,NA,FALSE,demographics
FALSE,race_filipino,BEDROCK,N,No,WHALES,N,No,NA,FALSE,demographics
FALSE,race_filipino,BEDROCK,U,Unknown,WHALES,U,Unknown,NA,FALSE,demographics
FALSE,race_guamanian_or_chamorro,BEDROCK,Y,Yes,WHALES,Y,Yes,NA,FALSE,demographics
FALSE,race_guamanian_or_chamorro,BEDROCK,N,No,WHALES,N,No,NA,FALSE,demographics
FALSE,race_guamanian_or_chamorro,BEDROCK,U,Unknown,WHALES,U,Unknown,NA,FALSE,demographics
FALSE,race_hawaiian,BEDROCK,Y,Yes,WHALES,Y,Yes,NA,FALSE,demographics
FALSE,race_hawaiian,BEDROCK,N,No,WHALES,N,No,NA,FALSE,demographics
FALSE,race_hawaiian,BEDROCK,U,Unknown,WHALES,U,Unknown,NA,FALSE,demographics
FALSE,race_japanese,BEDROCK,Y,Yes,WHALES,Y,Yes,NA,FALSE,demographics
FALSE,race_japanese,BEDROCK,N,No,WHALES,N,No,NA,FALSE,demographics
FALSE,race_japanese,BEDROCK,U,Unknown,WHALES,U,Unknown,NA,FALSE,demographics
FALSE,race_korean,BEDROCK,Y,Yes,WHALES,Y,Yes,NA,FALSE,demographics
FALSE,race_korean,BEDROCK,N,No,WHALES,N,No,NA,FALSE,demographics
FALSE,race_korean,BEDROCK,U,Unknown,WHALES,U,Unknown,NA,FALSE,demographics
FALSE,race_other,BEDROCK,Y,Yes,WHALES,Y,Yes,NA,FALSE,demographics
FALSE,race_other,BEDROCK,N,No,WHALES,N,No,NA,FALSE,demographics
FALSE,race_other,BEDROCK,U,Unknown,WHALES,U,Unknown,NA,FALSE,demographics
FALSE,race_other_asian,BEDROCK,Y,Yes,WHALES,Y,Yes,NA,FALSE,demographics
FALSE,race_other_asian,BEDROCK,N,No,WHALES,N,No,NA,FALSE,demographics
FALSE,race_other_asian,BEDROCK,U,Unknown,WHALES,U,Unknown,NA,FALSE,demographics
FALSE,race_other_pacific_islander,BEDROCK,Y,Yes,WHALES,Y,Yes,NA,FALSE,demographics
FALSE,race_other_pacific_islander,BEDROCK,N,No,WHALES,N,No,NA,FALSE,demographics
FALSE,race_other_pacific_islander,BEDROCK,U,Unknown,WHALES,U,Unknown,NA,FALSE,demographics
FALSE,race_samoan,BEDROCK,Y,Yes,WHALES,Y,Yes,NA,FALSE,demographics
FALSE,race_samoan,BEDROCK,N,No,WHALES,N,No,NA,FALSE,demographics
FALSE,race_samoan,BEDROCK,U,Unknown,WHALES,U,Unknown,NA,FALSE,demographics
FALSE,race_summary_code,BEDROCK,10,White,WHALES,10,White,NA,FALSE,demographics
FALSE,race_summary_code,BEDROCK,11,Black,WHALES,11,Black,NA,FALSE,demographics
FALSE,race_summary_code,BEDROCK,12,American Indian/Alaska Native,WHALES,12,American Indian/Alaska Native,NA,FALSE,demographics
FALSE,race_summary_code,BEDROCK,13,Asian,WHALES,13,Asian,NA,FALSE,demographics
FALSE,race_summary_code,BEDROCK,14,Native Hawaiian or Pacific Islander,WHALES,14,Native Hawaiian or Pacific Islander,NA,FALSE,demographics
FALSE,race_summary_code,BEDROCK,20,White and Black,WHALES,20,White and Black,NA,FALSE,demographics
FALSE,race_summary_code,BEDROCK,21,White and American Indian/Alaska Native,WHALES,21,White and American Indian/Alaska Native,NA,FALSE,demographics
FALSE,race_summary_code,BEDROCK,22,White and Asian,WHALES,22,White and Asian,NA,FALSE,demographics
FALSE,race_summary_code,BEDROCK,23,White and Native Hawaiian or Pacific Islander,WHALES,23,White and Native Hawaiian or Pacific Islander,NA,FALSE,demographics
FALSE,race_summary_code,BEDROCK,24,Black and American Indian/Alaska Native,WHALES,24,Black and American Indian/Alaska Native,NA,FALSE,demographics
FALSE,race_summary_code,BEDROCK,25,Black and Asian,WHALES,25,Black and Asian,NA,FALSE,demographics
FALSE,race_summary_code,BEDROCK,26,Black and Native Hawaiian or Pacific Islander,WHALES,26,Black and Native Hawaiian or Pacific Islander,NA,FALSE,demographics
FALSE,race_summary_code,BEDROCK,27,American Indian/Alaska Native and Asian,WHALES,27,American Indian/Alaska Native and Asian,NA,FALSE,demographics
FALSE,race_summary_code,BEDROCK,28,American Indian/Alaska Native and Native Hawaiian or Pacific Islander,WHALES,28,American Indian/Alaska Native and Native Hawaiian or Pacific Islander,NA,FALSE,demographics
FALSE,race_summary_code,BEDROCK,29,Asian and Native Hawaiian or Pacific Islander,WHALES,29,Asian and Native Hawaiian or Pacific Islander,NA,FALSE,demographics
