start_year,end_year,code,label,city,state,notes,review_flag
1980,2026,703,Gilbertson Funeral Home,Stanwood,WA,,FALSE
1980,2026,704,Gillies Funeral Home Inc,Lynden,WA,,FALSE
1980,2026,705,Moles Farewell Tributes - Greenacres ,Ferndale,WA,,FALSE
1980,2026,707,Mueller's Greenlee Funeral Home,Pasco,WA,,FALSE
1980,2026,708,Greenwood Memorial Park & Funeral Home,Renton,WA,,FALSE
1980,2026,717,Green Hills Memorial Gardens,Kelso,WA,,FALSE
1980,2026,801,Hamilton-Mylan Funeral Home,Vancouver,WA,,FALSE
1980,2026,802,Harper-Ridgeview Funeral Chapel,Port Angeles,WA,,FALSE
1980,2026,803,Haven of Rest Funeral Home,Gig Harbor,WA,,FALSE
1980,2026,804,Hazen & Jaeger Funeral Home,Spokane,WA,,FALSE
1980,2026,805,Hazen & Jaeger Valley Funeral Home,Spokane Valley,WA,,FALSE
1980,2026,807,Hennessey Funeral Home & Crematory,Spokane,WA,,FALSE
1980,2026,808,Herring Groseclose Funeral Home Inc,Walla Walla,WA,,FALSE
1980,2026,810,Hill Funeral Home,Puyallup,WA,,FALSE
1980,2026,811,Hoffner Fisher & Harvey,Seattle,WA,,FALSE
1980,2026,812,Howden-Kennedy Funeral Home of West Seattle,Seattle,WA,,FALSE
1980,2026,813,Hubbard Funeral Home,Castle Rock,WA,,FALSE
1980,2026,814,Hubbard Rogg Chapel Inc,Dayton,WA,,FALSE
1980,2026,815,Hulbush Funeral Home and Cremation Services,Burlington,WA,,FALSE
1980,2026,816,Hawthorne Funeral Home,Mount Vernon,WA,,FALSE
1980,2026,817,Heritage Funeral Home,Spokane,WA,,FALSE
1980,2026,819,Scott Funeral Home,Tacoma,WA,,FALSE
1980,2026,821,Hillcrest Funerals and Cremation ,Kennewick,WA,,FALSE
1980,2026,822,Hennessey Valley Funeral Home & Crematory,Spokane Valley,WA,,FALSE
1980,2026,824,Harrison Family Mortuary,Aberdeen,WA,,FALSE
1980,2026,825,Heritage Memorial Chapel,East Wenatchee,WA,,FALSE
1980,2026,830,Hilton Funeral Serivces,Vancouver ,WA,,FALSE
1980,2026,831,Hamon Funeral Service,Shoreline ,WA,,FALSE
1980,2026,832,Barton Family Funeral Services Seattle,Seattle,WA,,FALSE
1980,2026,901,Island Funeral Service,Vashon ,WA,,FALSE
1980,2026,989,Return Home,Auburn ,WA,,FALSE
1980,2026,1001,Jerns Funeral Chapel,Bellingham,WA,,FALSE
1980,2026,1005,Jones & Jones ~ Betts Funeral Home,Wenatchee,WA,,FALSE
1980,2026,1101,Kayser's Chapel of Memories,Moses Lake,WA,,FALSE
1980,2026,1102,Keith & Keith Funeral Home,Yakima,WA,,FALSE
1980,2026,1103,Kern Funeral Home,Mount Vernon,WA,,FALSE
1980,2026,1104,Kimball Funeral Home,Pullman,WA,,FALSE
1980,2026,1106,Kosec Funeral Home and Crematory Inc,Port Townsend,WA,,FALSE
1980,2026,1107,Kramer Funeral Home,Palouse,WA,,FALSE
