code,label,city,notes,review_flag
315,Chattaroy Cemetery,Chattaroy,,
316,Chewelah Catholic Cemetery,Chewelah,,
317,Eglon Cemetery,Eglon,,
317,Eglon Cemetery,Eglon,,
318,Goldenrod Cemetery,Tekoa,,
319,Outlook Cemetery,Outlook,,
320,Fairfield Cemetery,Fairfield,,
321,Holy Rosary Cemetery,Moxee City,,
322,Ft Okanogan Monse Cemetery,Monse,,
322,Monse Cemetery,Monse,,
322,Fort Okanogan Cemetery,Monse,,
323,Woodlawn Cemetery,Ferndale,,
324,Wauconda Cemetery,Wauconda,,
325,Twin Firs Cemetery,Belfair,,
326,Holy Rosary Cemetery,Spokane,,
327,Dartford Cemetery,Dartford,,
328,Locust Grove Cemetery,Brewster,,
329,Rosalia Cemetery,Rosalia,,
330,Saint Martin'S Abby Cemetery,Lacey,,
330,St. Martin Abbey Cemetery,Lacey,,
331,Parkland Lutheran Cemetery,Parkland,,
332,Wild Rose Cemetery,Deer Park,,
333,Laurel Grove Cemetery,Port Townsend,,
333,Port Townsend Cemetery,Port Townsend,,
334,Blue Mountain Memorial Gardens,College Place,,
335,Dayton City Cemetery,Dayton,,
335,Dayton Cemetery,Dayton,,
336,Queen Of Peace Cemetery,Spokane,,
337,Mountain View Cemetery,Davenport,,
338,Beaver Creek Cemetery,Twisp,,
339,Menlo Cemetery,Raymond,,
340,Hartline Cemetery,Hartline,,
341,Laurel Hills Memorial Park,Cle Elum,,
341,Laurel Hill Memorial Park,Cle Elum,,
342,Waterville Cemetery,Waterville,,
343,Bow Cemetery,Bow,,
344,Ten Mile Cemetery,Lynden,,
345,Thornton Cemetery,Thornton,,
346,St. Boniface Cemetery,Uniontown,,
347,Mclane Cemetery,Olympia,,
348,St. Rose Of Lima Cemetery,Ephrata,,
349,Lind Cemetery,Lind,,
350,Greenhills Cemetery,Burlington,,
351,Whitman County Cemetery District No. 2,Garfield,,
351,Garfield Cemetery,Garfield,,
352,West End Cemetery,Wellpinit,,
353,Riverside Cemetery,Riverside,,
354,White Salmon Cemetery,White Salmon,,
355,Oakville Final Rest Memorial Cemetery,Oakville,,
356,Valley Cemetery,Friday Harbor,,
357,Forest Hill Cemetery,Cosmopolis,,
358,Oceanview Cemetery,Port Angeles,,
358,Ocean View Cemetery,Port Angeles,,
359,Shine Cemetery,Shine,,
360,Valley Cemetery,Valley,,
361,Palouse Cemetery,Palouse,,
362,Paradise Hill Cemetery,Brewster,,
363,Pleasant Ridge Cemetery,La Conner,,
364,Temple Beth Hatfiloh Cemetery,Tumwater,,
365,Country View Cemetery,Mesa,,
366,Alder Lodge Ioof Cemetery,Alder,,
367,Milan Cemetery,Milan,,
368,Brinnon Cemetery,Brinnon,,
369,Zion Hill Cemetery,Deer Park,,
370,Wilbur Cemetery,Wilbur,,
371,Calvary Cemetery,Colville,,
372,Marysville Cemetery,Marysville,,
373,Almira Cemetery,Almira,,
374,Winlock Cemetery,Winlock,,
375,Washtucna Pioneer Memorial Cemetery,Washtucna,,
376,Park Hill Cemetery,Vancouver,,
376,Park Hill Cemetery,Vancouver,,
377,Squaxin Tribal Cemetery,Squaxin Island,,
378,Chillowist Cemetery,Malott,,
379,Grove Cemetery,Matlock,,
380,Creston Cemetery,Creston,,
381,Darrington Cemetery,Darrington,,
382,Camano Lutheran Cemetery,Camano Island,,
383,Riverview Cemetery,Oroville,,
384,Neah Bay Cemetery,Neah Bay,,
385,Edmonds Memorial Cemetery,Edmonds,,
386,Nisqually Tribal Cemetery,Olympia,,
387,Seattle Sephardic Brotherhood Cemetery,Seattle,,
388,Schultz Cemetery,Ruff,,
389,Bickleton I.O.O.F. Cemetery,Bickleton,,
390,Tobin Family Cemetery Of The Squaxin Island Tribe,Olympia,,
391,Colfax Cemetery,Colfax,,
392,San Poil Cemetery,Keller,,
393,Holy Redeemer Cemetery,Deer Park,,
394,Methodist Cemetery,White Swan,,
395,Elma Masonic Cemetery,Elma,,
396,Hillcrest Cemetery,Harrington,,
397,Rocklyn Cemetery,Davenport,,
398,St. Urban Cemetery,Winlock,,
399,Valley Cemetery,Spokane,,
400,Ball & Dodd Funeral Home & Crematory,Spokane,,
401,Bayside Crematory,Seattle,,
402,Benson Family Funeral Services,Moses Lake,,
403,Bleitz Funeral Home,Seattle,,
404,Bonney-Watson Crematory,Seatac,,
405,Burley Funeral Chapel Crematory,Oak Harbor,,
406,Butterworth Funeral Home,Seattle,,
407,Mortuary Cremation Services,Kent,,
408,Cascade Memorial Center,East Wenatchee,,
409,Colonial-Dewitt Funeral Home,Walla Walla,,
410,Columbia Crematory,Seattle,,
411,Columbia River Crematory,White Salmon,,
412,Danekas Crematory,Colville,,
413,Drennan Ford Crematory,Port Angeles,,
414,Einan'S Crematorium,Richland,,
414,Einan'S Crematory,Richland,,
415,Evans Funeral Chapel,Anacortes,,
416,First Cremation Services Kent,Kent,,
417,Flintoft'S Issaquah Crematory,Issaquah,,
418,Forest Cemetery,Olympia,,
419,Green Funeral Home,Bellevue,,
420,Hennessey Crematory (Division),Spokane,,
421,Hennessey Valley Crematory,Spokane Valley,,
422,Heritage Crematory,Spokane,,
