code,label,city,state,notes,review_flag
1601,Pendleton-Gilchrist Funeral Home,Port Orchard,WA,"In the WA DOH CHS Data Dictionary, this funeral home is duplicated (with a slight name change/addition of ""Inc""). Deduplicating down to 1 row for this code.",TRUE
1602,Penttila's Chapel by the Sea,Long Beach,WA,,FALSE
1603,"Piper Morley Funeral Home, LLC",Lakewood,WA,,FALSE
1604,Prosser Funeral Home,Prosser,WA,,FALSE
1605,Powers Funeral Home,Puyallup,WA,,FALSE
1607,Sumner Voiles Funeral Chapel,Sumner,WA,,FALSE
1608,Precht Rose Chapel,Chelan,WA,,FALSE
1609,Precht-Harrison-Nearents Chapel,Okanogan,WA,,FALSE
1611,Price-Helton Funeral Home,Auburn,WA,,FALSE
1613,Purdy & Kerr with Dawson Funeral Home,Monroe,WA,,FALSE
1614,Purdy & Walters with Cassidy,Everett,WA,,FALSE
1615,Purdy & Walters at Floral Hills,Lynnwood,WA,,FALSE
1616,Professional Funeral Directors & Crematory,Walla Walla,WA,,FALSE
1624,The Co-op Funeral Home of People's Memorial,Seattle,WA,,FALSE
1625,Peninsula Cremation Center,Gig Harbor,WA,,FALSE
1626,Providence Funeral Services,Quincy,WA,,FALSE
1628,PMI Mortuary Service,Seattle,WA,,FALSE
1630,Pike and Sanford Funeral DIrectors,Kenmore,WA,,FALSE
1802,Riplinger Funeral Home,Spokane,WA,,FALSE
1803,Rosebud Funeral Service,Seattle,WA,,FALSE
1805,Rainier Memorial Center,Yakima,WA,,FALSE
1901,Schaefer-Shipman Funeral Home,Marysville,WA,,FALSE
1903,Schanzenbach Funeral Home,Fairfield,WA,,FALSE
1904,Scharbach's Columbia Funeral Chapel,Quincy,WA,,FALSE
1905,Sequim Valley Funeral Chapel,Sequim,WA,,FALSE
1906,Shaw & Sons Funeral Home,Yakima,WA,,FALSE
1907,Sherman-Campbell Funeral and Cremation Services,Newport,WA,,FALSE
1908,Snoqualmie Valley Funeral Chapel,North Bend,WA,,FALSE
1909,"Solie Funeral Home, LLC",Everett,WA,,FALSE
1911,Steele Chapel at Longview Memorial Park,Longview,WA,,FALSE
1912,Sticklin Funeral Chapel,Centralia,WA,,FALSE
1914,Stoller's Mortuary Inc,Raymond,WA,,FALSE
1915,Strate Funeral Home - Grant,Grand Coulee,WA,,FALSE
1916,Strate Funeral Home - Lincoln,Davenport,WA,,FALSE
1917,Straub's Funeral Home & Columbia River Cremation,Camas,WA,,FALSE
1919,Sunset Hills Funeral Home,Bellevue,WA,,FALSE
1920,Smith Funeral Home LTD,Sunnyside,WA,,FALSE
1922,Seattle Jewish Chapel,Seattle,WA,,FALSE
1923,Schanzenbach Funeral Home (Rosalia),Rosalia,WA,,FALSE
1924,"Skagit Cremation Services, LLC",Anacortes,WA,,FALSE
1925,Spokane Cremation & Funeral Service,Spokane,WA,,FALSE
1937,Smart Cremation,Puyallup,WA,,FALSE
1939,Serenity Funeral Home and Cremation,Renton,WA,,FALSE
1940,Sig's Funeral Services,Bellingham,WA,,FALSE
1942,Safe Harbor Funeral Service,Blaine,WA,,FALSE
1947,Simple Cremation - Seattle,Seattle,WA,,FALSE
1948,Simple Cremation - Spokane,Spokane,WA,,FALSE
1949,Simple Cremation - Olympia,Olympia ,WA,,FALSE
1950,Simple Cremation - Tacoma,Tacoma,WA,,FALSE
1951,Sunrise Funeral Home,Mossyrock,WA,,FALSE
2001,Chapel of the Valley,East Wenatchee,WA,,FALSE
2003,Thornhill Valley Chapel,Spokane Valley,WA,,FALSE
2005,The Stone Chapel at Poulsbo Mortuary,Poulsbo,WA,,FALSE
2008,Tuell-Mckee Funeral Home,Tacoma,WA,,FALSE
2009,Tuell-Mckee Funeral Home,Bremerton,WA,,FALSE
2013,Tacoma Mausoleum & Mortuary,Tacoma,WA,,FALSE
2102,Universal Funeral Home,Tacoma,WA,,FALSE
2201,Valley Hills Funeral Home of Zillah,Zillah,WA,,FALSE
2203,Vancouver Funeral Chapel,Vancouver,WA,,FALSE
2205,Valley Hills Funeral Home of Sunnyside,Sunnyside,WA,,FALSE
2301,Ward's Funeral Chapel,Leavenworth,WA,,FALSE
2304,Weller Funeral Home,Arlington,WA,,FALSE
2306,Westford Funeral Home Inc,Bellingham,WA,,FALSE
2307,Whiteside Family Mortuaries ,Aberdeen,WA,,FALSE
2308,Whiteside Family Mortuaries,Elma,WA,,FALSE
2311,Woodland Funeral Home,Woodland,WA,,FALSE
2312,Woodlawn Funeral Home,Lacey,WA,,FALSE
2313,Weeks' Enumclaw Funeral Home,Enumclaw,WA,,FALSE
2314,Weeks' Funeral Home,Buckley,WA,,FALSE
2320,Whatcom Cremation & Funeral,Bellingham,WA,,FALSE
